,Gene name,Gene description,dN with Chimpanzee,dS with Chimpanzee,dN/dS with Chimpanzee,dN with Mouse,dS with Mouse,dN/dS with Mouse,present in DrugBank
176,DUSP18,dual specificity phosphatase 18 [Source:HGNC Symbol;Acc:HGNC:18484],0.3675,0.9235,0.3979,0.0964,0.836,0.1153,False
177,SVIL,supervillin [Source:HGNC Symbol;Acc:HGNC:11480],0.0032,0.0163,0.1963,0.1025,0.7634,0.1343,False
178,CCL7,C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634],0.0054,0.0097,0.5567,0.2946,1.0998,0.2679,False
179,AIRE,autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360],0.0082,0.0504,0.1627,0.1802,0.8616,0.2091,False
180,TSKU,"tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]",0.0075,0.0085,0.8824,0.091,0.9263,0.0982,False
181,MSH5,mutS homolog 5 [Source:HGNC Symbol;Acc:HGNC:7328],0.0141,0.0236,0.5975,0.0644,0.4502,0.143,False
182,POP1,"POP1 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:30129]",0.0032,0.0105,0.3048,0.1458,0.568,0.2567,False
183,WDSUB1,"WD repeat, sterile alpha motif and U-box domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26697]",0.0009,0.0032,0.2812,0.1091,0.7371,0.148,False
184,TMEM181,transmembrane protein 181 [Source:HGNC Symbol;Acc:HGNC:20958],0.0078,0.0156,0.5,0.0438,0.7623,0.0575,False
185,HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]",0.0046,0.0123,0.374,0.0112,0.3068,0.0365,False
186,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570],0.0008,0.018000000000000002,0.0444,0.0154,0.5921,0.026,False
187,DNASE1L3,deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959],0.0058,0.0242,0.2397,0.1117,0.5531,0.202,False
188,FBH1,F-box DNA helicase 1 [Source:HGNC Symbol;Acc:HGNC:13620],0.004,0.0148,0.2703,0.0511,0.4887,0.1046,False
189,SNRPD1,small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158],0.0319,0.0334,0.9551,0.0,0.0,,False
190,DDB2,damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718],0.0,0.0,,0.1188,0.4793,0.2479,False
191,PKD2L2,"polycystin 2 like 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9012]",0.0044,0.0088,0.5,0.1117,0.8074,0.1383,False
192,KRTAP26-1,keratin associated protein 26-1 [Source:HGNC Symbol;Acc:HGNC:33760],0.0024,0.0,inf,0.2985,1.0103,0.2955,False
193,GABRD,gamma-aminobutyric acid type A receptor delta subunit [Source:HGNC Symbol;Acc:HGNC:4084],0.1437,0.5356,0.2683,0.0331,1.3596,0.0243,True
194,UCMA,upper zone of growth plate and cartilage matrix associated [Source:HGNC Symbol;Acc:HGNC:25205],0.0067,0.0271,0.2472,0.11599999999999999,0.6538,0.1774,False
195,ANO9,anoctamin 9 [Source:HGNC Symbol;Acc:HGNC:20679],0.0231,0.1018,0.2269,0.1664,1.6762,0.0993,False
196,LDB1,LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532],0.0,0.0,,0.001,0.3486,0.0029,False
197,NOC3L,NOC3 like DNA replication regulator [Source:HGNC Symbol;Acc:HGNC:24034],0.0018,0.0014,1.2857,0.0515,0.6174,0.0834,False
198,RAB26,"RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14259]",0.055,0.156,0.3526,0.0698,0.8253,0.0846,False
199,MTMR14,myotubularin related protein 14 [Source:HGNC Symbol;Acc:HGNC:26190],0.0028,0.004,0.7,0.0482,0.3303,0.1459,False
200,CCL11,C-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10610],0.0,0.0,,0.3055,0.46,0.6641,False
201,TLX3,T cell leukemia homeobox 3 [Source:HGNC Symbol;Acc:HGNC:13532],0.0014,0.0064,0.2188,0.0014,0.3992,0.0035,False
202,PNOC,prepronociceptin [Source:HGNC Symbol;Acc:HGNC:9163],0.0,0.0,,0.091,0.601,0.1514,False
203,VARS2,"valyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21642]",0.0039,0.0099,0.3939,0.0986,0.4963,0.1987,False
204,CERS4,ceramide synthase 4 [Source:HGNC Symbol;Acc:HGNC:23747],0.0078,0.0154,0.5065,0.1889,0.943,0.2003,False
205,CCL8,C-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635],0.0046,0.0273,0.1685,0.3134,0.6949,0.451,True
206,NFRKB,nuclear factor related to kappaB binding protein [Source:HGNC Symbol;Acc:HGNC:7802],0.0023,0.0128,0.1797,0.0318,0.4099,0.0776,False
207,JAM3,junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532],0.0,0.0,,0.0774,0.4677,0.1655,False
208,KLHL23,kelch like family member 23 [Source:HGNC Symbol;Acc:HGNC:27506],0.0008,0.0052,0.1538,0.0132,0.5012,0.0263,False
209,PGF,placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893],0.0976,0.2934,0.3327,0.2426,1.0206,0.2377,False
210,TAGLN,transgelin [Source:HGNC Symbol;Acc:HGNC:11553],0.0,0.0,,0.0134,0.4959,0.027,False
211,THAP3,THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855],0.0057,0.0166,0.3434,0.1316,0.9676,0.136,False
212,RASGEF1C,RasGEF domain family member 1C [Source:HGNC Symbol;Acc:HGNC:27400],0.003,0.0362,0.0829,0.0247,0.7734,0.0319,False
213,MYO9B,myosin IXB [Source:HGNC Symbol;Acc:HGNC:7609],0.0165,0.0583,0.283,0.0779,1.2038,0.0647,False
214,PHOSPHO2,"phosphatase, orphan 2 [Source:HGNC Symbol;Acc:HGNC:28316]",0.0038,0.0,inf,0.1104,0.4626,0.2387,False
215,DEFB129,defensin beta 129 [Source:HGNC Symbol;Acc:HGNC:16218],0.0,0.0,,0.4157,0.8804,0.4722,False
216,UBR7,ubiquitin protein ligase E3 component n-recognin 7 (putative) [Source:HGNC Symbol;Acc:HGNC:20344],0.0,0.0,,0.0721,0.51,0.1414,False
217,CDK6,cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777],0.0,0.0,,0.0193,0.4144,0.0466,True
218,MAN2C1,mannosidase alpha class 2C member 1 [Source:HGNC Symbol;Acc:HGNC:6827],0.0075,0.0372,0.2016,0.0584,0.5557,0.1051,False
219,MATR3,matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912],0.0015,0.0045,0.3333,0.0071,0.2529,0.0281,False
220,PAPSS1,3'-phosphoadenosine 5'-phosphosulfate synthase 1 [Source:HGNC Symbol;Acc:HGNC:8603],0.0,0.0,,0.0069,0.6621,0.0104,False
221,VIL1,villin 1 [Source:HGNC Symbol;Acc:HGNC:12690],0.0022,0.0189,0.1164,0.0527,0.64,0.0823,False
222,RAD23A,"RAD23 homolog A, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9812]",0.0,0.0,,0.0264,0.5341,0.0494,False
223,GRAMD2A,GRAM domain containing 2A [Source:HGNC Symbol;Acc:HGNC:27287],0.011000000000000001,0.0032,3.4375,0.1343,0.4749,0.2828,False
224,TBC1D19,TBC1 domain family member 19 [Source:HGNC Symbol;Acc:HGNC:25624],0.0008,0.009000000000000001,0.0889,0.0136,0.3371,0.0403,False
225,NFATC2,nuclear factor of activated T cells 2 [Source:HGNC Symbol;Acc:HGNC:7776],0.0096,0.0266,0.3609,0.0503,0.599,0.084,False
226,RNF146,ring finger protein 146 [Source:HGNC Symbol;Acc:HGNC:21336],0.0,0.0,,0.0369,0.3867,0.0954,False
227,ORC2,origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488],0.0039,0.006999999999999999,0.5571,0.1237,0.3721,0.3324,False
228,OR52W1,olfactory receptor family 52 subfamily W member 1 [Source:HGNC Symbol;Acc:HGNC:15239],0.0094,0.0065,1.4462,0.1338,0.3695,0.3621,False
229,TMEM251,transmembrane protein 251 [Source:HGNC Symbol;Acc:HGNC:20218],0.0025,0.0,inf,0.0389,0.3025,0.1286,False
230,PLTP,phospholipid transfer protein [Source:HGNC Symbol;Acc:HGNC:9093],0.0211,0.0448,0.471,0.102,0.7622,0.1338,False
231,CABLES2,Cdk5 and Abl enzyme substrate 2 [Source:HGNC Symbol;Acc:HGNC:16143],0.0561,0.2231,0.2515,0.0452,0.8085,0.0559,False
232,SYTL3,synaptotagmin like 3 [Source:HGNC Symbol;Acc:HGNC:15587],0.0073,0.027000000000000003,0.2704,0.1154,0.5537,0.2084,False
233,KRTAP27-1,keratin associated protein 27-1 [Source:HGNC Symbol;Acc:HGNC:33864],0.0241,0.0204,1.1814,0.358,0.5413,0.6614,False
234,C1QL2,complement C1q like 2 [Source:HGNC Symbol;Acc:HGNC:24181],0.0015,0.0235,0.0638,0.0263,0.9824,0.0268,False
235,KRTAP13-2,keratin associated protein 13-2 [Source:HGNC Symbol;Acc:HGNC:18923],0.0146,0.0115,1.2696,0.2414,0.7235,0.3337,False
236,PENK,proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831],0.0019,0.011000000000000001,0.1727,0.0908,0.7833,0.1159,False
237,KRTAP13-1,keratin associated protein 13-1 [Source:HGNC Symbol;Acc:HGNC:18924],0.0053,0.0152,0.3487,0.2324,0.7249,0.3206,False
238,RFK,riboflavin kinase [Source:HGNC Symbol;Acc:HGNC:30324],0.0,0.0,,0.0361,0.4491,0.0804,True
239,CLOCK,clock circadian regulator [Source:HGNC Symbol;Acc:HGNC:2082],0.0,0.0,,0.0225,0.3965,0.0567,False
240,CCDC127,coiled-coil domain containing 127 [Source:HGNC Symbol;Acc:HGNC:30520],0.0018,0.0139,0.1295,0.0951,0.8238,0.1154,False
241,DQX1,DEAQ-box RNA dependent ATPase 1 [Source:HGNC Symbol;Acc:HGNC:20410],0.0021,0.0102,0.2059,0.0945,0.4673,0.2022,False
242,PDGFA,platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799],0.1807,0.4759,0.3797,0.0494,0.7403,0.0667,False
243,GADD45GIP1,GADD45G interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29996],0.0061,0.0059,1.0339,0.1656,1.1271,0.1469,False
244,USP19,ubiquitin specific peptidase 19 [Source:HGNC Symbol;Acc:HGNC:12617],0.004,0.0102,0.3922,0.049,0.4234,0.1157,False
245,AMBN,ameloblastin [Source:HGNC Symbol;Acc:HGNC:452],0.001,0.0027,0.3704,0.2208,0.4013,0.5502,False
246,PDS5A,PDS5 cohesin associated factor A [Source:HGNC Symbol;Acc:HGNC:29088],0.001,0.0061,0.1639,0.0089,0.3895,0.0228,False
247,EXOSC7,exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112],0.0048,0.026000000000000002,0.1846,0.0211,0.4469,0.0472,False
248,SERPING1,serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228],0.0048,0.0071,0.6761,0.2096,0.7417,0.2826,False
249,CDH6,cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765],0.0007,0.0136,0.0515,0.0137,0.4339,0.0316,False
250,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698],0.0,0.0,,0.1254,0.6192,0.2025,True
251,TNS1,tensin 1 [Source:HGNC Symbol;Acc:HGNC:11973],0.0045,0.0219,0.2055,0.0545,0.5531,0.0985,False
252,WNK1,WNK lysine deficient protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:14540],0.004,0.0124,0.3226,0.0751,0.3543,0.212,False
253,RETN,resistin [Source:HGNC Symbol;Acc:HGNC:20389],0.0076,0.0,inf,0.3804,1.5333,0.2481,False
254,PRKRIP1,PRKR interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21894],0.0055,0.005,1.1,0.0388,0.373,0.104,False
255,PRSS21,serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485],0.0061,0.0077,0.7922,0.276,1.1,0.2509,False
256,FAM126B,family with sequence similarity 126 member B [Source:HGNC Symbol;Acc:HGNC:28593],0.0,0.0,,0.0238,0.3105,0.0767,False
257,TPP2,tripeptidyl peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12016],0.0003,0.0139,0.0216,0.0179,0.4771,0.0375,False
258,FAM114A1,family with sequence similarity 114 member A1 [Source:HGNC Symbol;Acc:HGNC:25087],0.0047,0.0138,0.3406,0.1337,0.6027,0.2218,False
259,HP1BP3,heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973],0.0,0.0,,0.0557,0.4269,0.1305,False
260,PCNA,proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729],0.0,0.0,,0.0147,0.5607,0.0262,True
261,ZDHHC3,zinc finger DHHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:18470],0.0,0.0,,0.0121,0.2315,0.0523,False
262,AHRR,aryl-hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346],0.0188,0.0327,0.5749,0.3002,1.035,0.29,False
263,FAM174A,family with sequence similarity 174 member A [Source:HGNC Symbol;Acc:HGNC:24943],0.0027,0.0106,0.2547,0.2059,0.5953,0.3459,False
264,ZC3HAV1,"zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]",0.0126,0.0121,1.0413,0.3096,0.7883,0.3927,False
265,AHRR,aryl-hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346],0.0107,0.019,0.5632,0.2524,1.005,0.2511,False
266,DGLUCY,D-glutamate cyclase [Source:HGNC Symbol;Acc:HGNC:20498],0.0055,0.0165,0.3333,0.1615,0.5629,0.2869,False
267,NEURL2,neuralized E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16156],0.0015,0.0103,0.1456,0.0483,0.8209,0.0588,False
268,AGER,advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320],0.0059,0.0026,2.2692,0.1389,0.5128,0.2709,False
269,AGTPBP1,ATP/GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17258],0.0042,0.0091,0.4615,0.0583,0.7181,0.0812,False
270,FAM216B,family with sequence similarity 216 member B [Source:HGNC Symbol;Acc:HGNC:26883],0.0,0.0,,0.3633,0.6138,0.5919,False
271,C11orf42,chromosome 11 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:28541],0.0047,0.0,inf,0.0799,0.2766,0.2889,False
272,RBM10,RNA binding motif protein 10 [Source:HGNC Symbol;Acc:HGNC:9896],0.0172,0.0461,0.3731,0.0177,0.4899,0.0361,False
273,PAX3,paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617],0.0,0.0,,0.0056,0.4069,0.0138,False
274,ELMOD1,ELMO domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25334],0.0014,0.0174,0.0805,0.02,0.6192,0.0323,False
275,RBMXL2,RBMX like 2 [Source:HGNC Symbol;Acc:HGNC:17886],0.0058,0.0172,0.3372,0.0929,1.1493,0.0808,False
276,DHX30,DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716],0.0256,0.0549,0.4663,0.037000000000000005,0.6018,0.0615,False
277,CPNE9,copine family member 9 [Source:HGNC Symbol;Acc:HGNC:24336],0.0,0.0,,0.0074,0.4219,0.0175,False
278,TMEM165,transmembrane protein 165 [Source:HGNC Symbol;Acc:HGNC:30760],0.0,0.0,,0.0426,0.4948,0.0861,False
279,TYRO3,TYRO3 protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12446],0.0011,0.0077,0.1429,0.0582,0.4254,0.1368,True
280,EFL1,elongation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25789],0.0035,0.011000000000000001,0.3182,0.0485,0.4494,0.1079,True
281,PRPS2,phosphoribosyl pyrophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:9465],0.0,0.0,,0.0058,0.608,0.0095,False
282,RPS6,ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429],0.0,0.0,,0.0,0.0,,False
283,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit [Source:HGNC Symbol;Acc:HGNC:1960],0.0,0.0,,0.0334,0.6436,0.0519,True
284,NIPAL2,NIPA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25854],0.0089,0.0091,0.978,0.0793,0.3721,0.2131,False
285,MCEMP1,mast cell expressed membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:27291],0.0242,0.0498,0.4859,0.4245,1.2366,0.3433,False
286,ARID4A,AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885],0.0016,0.0047,0.3404,0.0762,0.6776,0.1125,False
287,ZNF557,zinc finger protein 557 [Source:HGNC Symbol;Acc:HGNC:28632],0.0065,0.0318,0.2044,0.2164,0.8129,0.2662,False
288,ZNF704,zinc finger protein 704 [Source:HGNC Symbol;Acc:HGNC:32291],0.0021,0.018000000000000002,0.1167,0.0484,0.6875,0.0704,False
289,XKR5,XK related 5 [Source:HGNC Symbol;Acc:HGNC:20782],0.0142,0.017,0.8353,0.2243,0.6746,0.3325,False
290,PHOX2A,paired like homeobox 2A [Source:HGNC Symbol;Acc:HGNC:691],0.0,0.0,,0.0121,0.7227,0.0167,False
291,RPL15,ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306],0.0275,0.0422,0.6517,0.0,0.0,,False
292,GEN1,GEN1 Holliday junction 5' flap endonuclease [Source:HGNC Symbol;Acc:HGNC:26881],0.0036,0.0052,0.6923,0.1756,0.6071,0.2892,False
293,INPPL1,inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080],0.0018,0.0132,0.1364,0.0213,0.5446,0.0391,False
294,DSC1,desmocollin 1 [Source:HGNC Symbol;Acc:HGNC:3035],0.0049,0.0102,0.4804,0.1073,0.6153,0.1744,False
295,GTF2H4,general transcription factor IIH subunit 4 [Source:HGNC Symbol;Acc:HGNC:4658],0.0,0.0,,0.005,0.4329,0.0116,False
296,LGI2,leucine rich repeat LGI family member 2 [Source:HGNC Symbol;Acc:HGNC:18710],0.0,0.0,,0.0124,0.483,0.0257,False
297,MATR3,matrin 3 [Source:NCBI gene;Acc:9782],0.0015,0.0045,0.3333,0.0071,0.2529,0.0281,False
298,PAG1,phosphoprotein membrane anchor with glycosphingolipid microdomains 1 [Source:HGNC Symbol;Acc:HGNC:30043],0.0039,0.0075,0.52,0.1106,0.915,0.1209,False
299,SLC43A2,solute carrier family 43 member 2 [Source:HGNC Symbol;Acc:HGNC:23087],0.0015,0.0427,0.0351,0.0411,0.7018,0.0586,False
300,MAN2A2,mannosidase alpha class 2A member 2 [Source:HGNC Symbol;Acc:HGNC:6825],0.0027,0.0133,0.203,0.0545,0.6102,0.0893,False
301,FABP7,fatty acid binding protein 7 [Source:HGNC Symbol;Acc:HGNC:3562],0.0063,0.0,inf,0.1587,0.7565,0.2098,False
302,TRAK1,trafficking kinesin protein 1 [Source:HGNC Symbol;Acc:HGNC:29947],0.001,0.0143,0.0699,0.0254,0.6145,0.0413,False
303,ALPK2,alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:20565],0.0079,0.0114,0.693,0.325,0.6321,0.5142,False
304,TET2,tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941],0.0037,0.0031,1.1935,0.2683,0.5717,0.4693,False
305,AC021087.5,novel protein,0.1098,0.1474,0.7449,0.0403,0.5446,0.074,False
306,FUCA1,alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006],0.0039,0.0084,0.4643,0.0976,0.6395,0.1526,False
307,SDHA,succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680],0.0028,0.02,0.14,0.0285,0.615,0.0463,True
308,STAP2,signal transducing adaptor family member 2 [Source:HGNC Symbol;Acc:HGNC:30430],0.0021,0.0118,0.178,0.1938,0.9084,0.2133,False
309,WDR91,WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997],0.0019,0.0084,0.2262,0.0387,0.5904,0.0655,False
310,PCDH18,protocadherin 18 [Source:HGNC Symbol;Acc:HGNC:14268],0.0,0.0,,0.036000000000000004,0.6086,0.0592,False
311,DSC2,desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036],0.0077,0.0134,0.5746,0.1454,0.7796,0.1865,False
312,PYGB,glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723],0.0,0.0,,0.0203,0.8789,0.0231,True
313,SYK,spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491],0.0015,0.0158,0.0949,0.0401,0.907,0.0442,True
314,C1QTNF2,C1q and TNF related 2 [Source:HGNC Symbol;Acc:HGNC:14325],0.0041,0.0204,0.201,0.0432,0.6509999999999999,0.0664,False
315,DCBLD1,"discoidin, CUB and LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21479]",0.0017,0.0114,0.1491,0.1364,0.5687,0.2398,False
316,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:HGNC Symbol;Acc:HGNC:11103]",0.0011,0.006999999999999999,0.1571,0.0,0.0,,False
317,SMC6,structural maintenance of chromosomes 6 [Source:HGNC Symbol;Acc:HGNC:20466],0.0004,0.0086,0.0465,0.0436,0.5261,0.0829,False
318,ZC3HC1,zinc finger C3HC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29913],0.003,0.0105,0.2857,0.0854,0.5064,0.1686,False
319,RBBP8NL,RBBP8 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16144],0.008,0.0144,0.5556,0.2484,0.7709,0.3222,False
320,MCMDC2,minichromosome maintenance domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26368],0.0028,0.0091,0.3077,0.08199999999999999,0.4089,0.2005,False
321,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187],0.0007,0.0065,0.1077,0.0098,0.4176,0.0235,False
322,NR1D2,nuclear receptor subfamily 1 group D member 2 [Source:HGNC Symbol;Acc:HGNC:7963],0.0051,0.0256,0.1992,0.0404,0.4492,0.0899,False
323,ABHD6,abhydrolase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21398],0.0015,0.0061,0.2459,0.0281,0.4117,0.0683,False
324,TMEM156,transmembrane protein 156 [Source:HGNC Symbol;Acc:HGNC:26260],0.0072,0.0224,0.3214,0.3032,0.4543,0.6674,False
325,SLC35D2,solute carrier family 35 member D2 [Source:HGNC Symbol;Acc:HGNC:20799],0.0014,0.0037,0.3784,0.0531,0.4319,0.1229,False
326,EIF2B2,eukaryotic translation initiation factor 2B subunit beta [Source:HGNC Symbol;Acc:HGNC:3258],0.0029,0.009000000000000001,0.3222,0.0269,0.546,0.0493,False
327,ABHD12,abhydrolase domain containing 12 [Source:HGNC Symbol;Acc:HGNC:15868],0.0,0.0,,0.0543,0.4918,0.1104,False
328,MSX2,msh homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7392],0.0017,0.0047,0.3617,0.04,0.5181,0.0772,False
329,ABCA12,ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637],0.0031,0.0109,0.2844,0.0575,0.5085,0.1131,False
330,GOPC,golgi associated PDZ and coiled-coil motif containing [Source:HGNC Symbol;Acc:HGNC:17643],0.0023,0.0059,0.3898,0.0405,0.6121,0.0662,False
331,PIGG,phosphatidylinositol glycan anchor biosynthesis class G [Source:HGNC Symbol;Acc:HGNC:25985],0.0023,0.0141,0.1631,0.1282,0.5573,0.23,False
332,PPRC1,PPARG related coactivator 1 [Source:HGNC Symbol;Acc:HGNC:30025],0.0046,0.0067,0.6866,0.1368,0.4032,0.3393,False
333,OR13A1,olfactory receptor family 13 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:14772],0.0146,0.0358,0.4078,0.0871,0.7389,0.1179,False
334,TFF3,trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757],0.0089,0.0,inf,0.2097,1.0434,0.201,False
335,COMMD9,COMM domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25014],0.0053,0.0051,1.0392,0.0602,0.4762,0.1264,False
336,SIN3A,SIN3 transcription regulator family member A [Source:HGNC Symbol;Acc:HGNC:19353],0.0004,0.0083,0.0482,0.0094,0.3994,0.0235,False
337,RAB42,"RAB42, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:28702]",0.0019,0.0082,0.2317,0.0988,0.6946,0.1422,False
338,SMPDL3A,sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389],0.0067,0.0023,2.913,0.1105,0.5871,0.1882,False
339,TAF12,TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545],0.0066,0.0058,1.1379,0.0181,0.348,0.052,False
340,IL17A,interleukin 17A [Source:HGNC Symbol;Acc:HGNC:5981],0.003,0.0,inf,0.24100000000000002,0.6111,0.3944,False
341,NKIRAS1,NFKB inhibitor interacting Ras like 1 [Source:HGNC Symbol;Acc:HGNC:17899],0.0,0.0,,0.0231,0.6859,0.0337,False
342,TRAPPC6B,trafficking protein particle complex 6B [Source:HGNC Symbol;Acc:HGNC:23066],0.0,0.0,,0.0121,0.3203,0.0378,False
343,ISOC1,isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254],0.0,0.0,,0.0291,0.6115,0.0476,False
344,HSD17B3,hydroxysteroid 17-beta dehydrogenase 3 [Source:HGNC Symbol;Acc:HGNC:5212],0.0065,0.0034,1.9118,0.179,0.5906,0.3031,True
345,FER1L5,fer-1 like family member 5 [Source:HGNC Symbol;Acc:HGNC:19044],0.0162,0.0317,0.511,0.161,0.625,0.2576,False
346,H1F0,H1 histone family member 0 [Source:HGNC Symbol;Acc:HGNC:4714],0.0,0.0,,0.0254,0.5197,0.0489,False
347,ROS1,"ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]",0.004,0.0106,0.3774,0.1129,0.4599,0.2455,True
348,SIL1,SIL1 nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:24624],0.0053,0.0184,0.288,0.0864,0.614,0.1407,False
349,ABCC2,ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53],0.0038,0.0064,0.5938,0.1355,0.556,0.2437,True
350,GTPBP6,GTP binding protein 6 (putative) [Source:HGNC Symbol;Acc:HGNC:30189],0.0032,0.0339,0.0944,0.2498,4.1527,0.0602,False
351,ALDH1B1,aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407],0.0026,0.0103,0.2524,0.0315,0.7741,0.0407,False
352,PPP1R9A,protein phosphatase 1 regulatory subunit 9A [Source:HGNC Symbol;Acc:HGNC:14946],0.0021,0.0063,0.3333,0.0506,0.6137,0.0825,False
353,TUBE1,tubulin epsilon 1 [Source:HGNC Symbol;Acc:HGNC:20775],0.0009,0.0097,0.0928,0.0467,0.6558,0.0712,True
354,TLR7,toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631],0.0027,0.0067,0.403,0.1145,0.4853,0.2359,True
355,FBXO16,F-box protein 16 [Source:HGNC Symbol;Acc:HGNC:13618],0.0291,0.0508,0.5728,0.0926,0.7068,0.131,False
